date,open,high,low,close,volume,bitcoin,buy bitcoin,sell bitcoin,hourly_chg,label
1/1/2021 0:00,28923.63,29031.34,28690.17,28995.13,2311.811445,6.060473418,17.24375,16.27704155,71.5,UP
1/1/2021 1:00,28995.13,29470,28960.35,29409.99,5403.068471,5.83601144,20.37897727,22.38093213,414.86,UP
1/1/2021 2:00,29410,29465.26,29120.03,29194.65,2384.23156,5.611549461,20.37897727,21.36361704,-215.35,DOWN
1/1/2021 3:00,29195.25,29367,29150.02,29278.4,1461.345077,5.162625504,19.59517045,18.31167175,83.15,UP
1/1/2021 4:00,29278.41,29395,29029.4,29220.31,2038.046803,5.162625504,20.37897727,16.27704155,-58.1,DOWN
1/1/2021 5:00,29220.31,29235.28,29084.11,29187.01,1469.956262,4.938163526,16.45994318,17.29435665,-33.3,DOWN
1/1/2021 6:00,29187.01,29270,29077.32,29174.35,1420.726291,4.938163526,17.24375,14.24241136,-12.66,DOWN
1/1/2021 7:00,29174.35,29191.98,28806.54,29092.83,2380.180918,4.938163526,14.89232955,15.25972645,-81.52,DOWN
1/1/2021 8:00,29092.84,29178.03,28872.24,29000.01,2008.165739,5.387087483,14.89232955,16.27704155,-92.83,DOWN
1/1/2021 9:00,29000.01,29307.73,28970,29202.21,2022.056022,5.611549461,13.32471591,17.29435665,202.2,UP
1/1/2021 10:00,29202.21,29344.97,29152.88,29223.82,1944.255841,5.611549461,13.32471591,18.31167175,21.61,UP
1/1/2021 11:00,29223.82,29402.57,29212.44,29313.49,2309.227717,5.611549461,14.10852273,16.27704155,89.67,UP
1/1/2021 12:00,29313.49,29600,29150,29233.49,4191.915161,6.060473418,15.67613636,18.31167175,-80,DOWN
1/1/2021 13:00,29233.49,29470,29200,29464.79,2211.29829,6.060473418,18.02755682,21.36361704,231.3,UP
1/1/2021 14:00,29464.79,29530,29266.15,29327.84,2612.67217,6.060473418,17.24375,22.38093213,-136.95,DOWN
1/1/2021 15:00,29327.83,29391,29030.14,29188.67,2779.063894,6.060473418,17.24375,15.25972645,-139.16,DOWN
1/1/2021 16:00,29188.67,29360,29125,29300.57,1490.329484,6.060473418,18.81136364,17.29435665,111.9,UP
1/1/2021 17:00,29300.79,29339.76,28937,29079.64,2504.977099,6.060473418,18.02755682,19.32898684,-221.15,DOWN
1/1/2021 18:00,29077.59,29259.98,28624.57,29072.7,4226.430041,6.060473418,18.81136364,20.34630194,-4.89,DOWN
1/1/2021 19:00,29072.7,29125.32,28950,29029.04,1629.228721,6.060473418,19.59517045,20.34630194,-43.66,DOWN
1/1/2021 20:00,29029.04,29279.72,28880.37,29200.96,1838.549082,6.060473418,19.59517045,21.36361704,171.92,UP
1/1/2021 21:00,29200.97,29289.82,29130,29160.39,1447.229641,6.060473418,21.94659091,24.41556233,-40.58,DOWN
1/1/2021 22:00,29163.17,29326.74,29104.57,29262.32,1127.035897,6.284935397,21.16278409,24.41556233,99.15,UP
1/1/2021 23:00,29262.32,29338.89,29228.14,29331.69,971.123385,6.060473418,26.64943182,29.50213781,69.37,UP
1/2/2021 0:00,29331.7,29338.59,28946.53,29197.48,2638.159379,5.611549461,24.29801136,25.43287742,-134.22,DOWN
1/2/2021 1:00,29197.93,29400,29100,29359.47,1891.997249,5.162625504,23.51420455,25.43287742,161.54,UP
1/2/2021 2:00,29359.46,29469,29320.01,29323.82,1704.830137,5.162625504,24.29801136,25.43287742,-35.64,DOWN
1/2/2021 3:00,29323.82,29382.49,29256.85,29351.95,1158.041761,5.162625504,25.865625,27.46750762,28.13,UP
1/2/2021 4:00,29351.95,29396,29220,29349.63,988.71107,4.938163526,26.64943182,27.46750762,-2.32,DOWN
1/2/2021 5:00,29349.63,29590,29349.63,29589.99,2778.878231,5.162625504,25.865625,20.34630194,240.36,UP
1/2/2021 6:00,29589.99,29745,29450,29709.07,3030.24082,5.162625504,22.73039773,23.39824723,119.08,UP
1/2/2021 7:00,29709.06,29820.5,29623.31,29750,3067.812724,5.83601144,20.37897727,26.45019252,40.94,UP
1/2/2021 8:00,29751.47,29849.11,29640,29844.51,2358.088241,6.284935397,17.24375,24.41556233,93.04,UP
1/2/2021 9:00,29844.52,29899,29578.05,29612.87,3188.497375,6.060473418,16.45994318,19.32898684,-231.65,DOWN
1/2/2021 10:00,29612.88,29829,29473.91,29680.99,2315.182337,5.611549461,15.67613636,18.31167175,68.11,UP
1/2/2021 11:00,29679.51,29780.53,29622.79,29755,1365.036655,5.611549461,14.10852273,17.29435665,75.49,UP
1/2/2021 12:00,29754.99,30888,29741.39,30604.03,12772.56604,8.080631224,18.81136364,25.43287742,849.04,UP
1/2/2021 13:00,30604.03,31561.87,30521,31541.17,9182.429703,10.54971299,31.35227273,34.5887133,937.14,UP
1/2/2021 14:00,31546.06,31567.89,31065,31290.53,6447.783897,11.4475609,36.05511364,44.76186427,-255.53,DOWN
1/2/2021 15:00,31290.53,31800,31236.37,31691.29,5626.193755,11.4475609,39.19034091,48.83112466,400.76,UP
1/2/2021 16:00,31691.09,33000,31616.42,32482.28,15432.28519,15.03895256,55.65028409,65.10816621,791.19,UP
1/2/2021 17:00,32484.28,32935,32394.77,32856.96,6402.180701,15.26341453,58.78551136,71.21205679,372.68,UP
1/2/2021 18:00,32856.95,33300,32421,32999.98,7170.295412,15.26341453,61.13693182,61.03890582,143.03,UP
1/2/2021 19:00,32999.98,33220,32690,33027.2,5844.856499,16.16126245,65.05596591,70.19474169,27.22,UP
1/2/2021 20:00,33027.2,33061.37,30550,30667.22,15733.28311,14.81449058,59.56931818,64.09085111,-2359.98,DOWN
1/2/2021 21:00,30669.43,32005.94,30300,31694.59,10395.12064,14.5900286,58.00170455,63.07353601,1025.16,UP
1/2/2021 22:00,31693.53,32311.92,31424.96,32145.66,3879.062094,13.69218069,56.43409091,60.02159072,452.13,UP
1/2/2021 23:00,32143.53,32246.67,31500,32178.33,4622.340338,12.79433277,57.21789773,61.03890582,34.8,UP
1/3/2021 0:00,32176.45,32497.8,31962.99,32447.94,3346.062141,11.67202288,57.21789773,54.93501524,271.49,UP
1/3/2021 1:00,32447.95,32790.07,32201,32585.09,3401.152207,10.77417497,56.43409091,61.03890582,137.14,UP
1/3/2021 2:00,32583.04,32884.09,32550,32741.67,2017.209759,10.32525101,55.65028409,57.98696053,158.63,UP
1/3/2021 3:00,32741.68,32756,32404,32573.87,2125.8788,10.10078903,54.86647727,55.95233033,-167.81,DOWN
1/3/2021 4:00,32576.11,33250,32450,33192.53,3436.070984,9.651865073,54.08267045,48.83112466,616.42,UP
1/3/2021 5:00,33192.53,34180,33109.44,33758.67,10355.07032,12.12094684,64.27215909,81.38520776,566.14,UP
1/3/2021 6:00,33758.67,34110.05,33651.12,33967.13,4526.910974,12.12094684,58.78551136,66.1254813,208.46,UP
1/3/2021 7:00,33967.13,34778.11,33737.19,34452.34,7968.074023,13.46771871,51.73125,70.19474169,485.21,UP
1/3/2021 8:00,34451.78,34670.41,33757.29,34367.68,6146.774112,14.36556662,54.08267045,54.93501524,-84.1,DOWN
1/3/2021 9:00,34367.35,34588.88,33800,34190.55,6052.678972,14.14110464,44.67698864,59.00427562,-176.8,DOWN
1/3/2021 10:00,34189.98,34350,33403,33877.96,6335.226642,13.01879475,39.97414773,43.74454917,-312.02,DOWN
1/3/2021 11:00,33877.96,34450,33787.55,34413.53,4116.853141,12.56987079,37.62272727,43.74454917,535.57,UP
1/3/2021 12:00,34413.53,34600,33928.75,34103.72,4546.283481,12.56987079,38.40653409,45.77917936,-309.81,DOWN
1/3/2021 13:00,34103.73,34385.02,33800,33880,4373.738376,12.12094684,40.75795455,44.76186427,-223.73,DOWN
1/3/2021 14:00,33877.98,34150,33450,33811.54,5928.805563,12.12094684,43.109375,42.72723407,-66.44,DOWN
1/3/2021 15:00,33811.54,33873.45,32727,33506.62,8391.249757,11.89648486,46.24460227,48.83112466,-304.92,DOWN
